Material ID,Polymer Name (Formula),Decomposition Energy (eV/atom),Density (g/cm³),Thermal Conductivity (W/m·K),Heat Capacity (J/mol·K)
mp-604909,Ca4Si2H2CO11,N/A,2.712126602187055,N/A,N/A
mp-728768,K3Mn3H2C12O13,N/A,2.145928276317128,N/A,N/A
mp-740758,H2Os4Pt(CO)15,N/A,3.692482511215948,N/A,N/A
mp-758109,Mn2PH2CO7,N/A,2.853269829029161,N/A,N/A
mp-758128,NaCoH2C3O7,N/A,2.366803267219248,N/A,N/A
mp-758659,H2RuC3(ClO2)2,N/A,2.312973710189411,N/A,N/A
mp-1179607,SbH2C(O2F3)2,N/A,2.595255951582326,N/A,N/A
mp-1200440,UH2C(OF)3,N/A,5.053999611813325,N/A,N/A
mp-1203196,H2Os3C8(SO4)2,N/A,3.453685745060724,N/A,N/A
mp-1211417,Mg2Cu2H2CO9,N/A,2.458081578805733,N/A,N/A
mp-758632,NaH2C2N3O,N/A,1.758288598130942,N/A,N/A
mp-560905,Na2NpH2(CO3)3,N/A,3.433984636923964,N/A,N/A
mp-707792,H2Ru3C8SO8,N/A,2.317538831837629,N/A,N/A
mp-720807,H2Ru6C18SO20,N/A,2.554395315231771,N/A,N/A
mp-1196868,Ag2H2C2N6O13,N/A,2.807877728568972,N/A,N/A
mp-1198291,NpP2H2CO8,N/A,3.942678605442649,N/A,N/A
mp-1199323,ThP2H2CO8,N/A,3.4154264364528633,N/A,N/A
mp-1199367,UP2H2CO9,N/A,3.459963013895308,N/A,N/A
mp-699136,NaAlH2CO5,N/A,2.3768384400654963,N/A,N/A
mp-1197788,UP2H2CO7,N/A,4.185916708547644,N/A,N/A
mp-707277,AgH2C2N3O,N/A,2.940179155603447,N/A,N/A
mp-707929,LiBH2C4O9,N/A,1.902091898541889,N/A,N/A
mp-697981,Cd3H2CSeO8,N/A,4.9213298979513365,N/A,N/A
mp-644285,KAlH2CO5,N/A,2.396888355506319,N/A,N/A
mp-644506,NaAlH2CO5,N/A,2.479984107686117,N/A,N/A
mp-866657,DyAgH2C2SO9,N/A,4.033930633981746,N/A,N/A
mp-866806,TbAgH2C2SO9,N/A,3.998598426859642,N/A,N/A
mp-1173102,Ti2H2CSe4Cl16O5,N/A,1.758415996596753,N/A,N/A
mp-1200489,Ti2H2CSe4Cl16O5,N/A,2.160479676883512,N/A,N/A
mp-693432,Ti2H2CSe4Cl16O5,N/A,2.392882579204777,N/A,N/A
mp-1194811,UAg2P2H2CO8,N/A,5.073991359825645,N/A,N/A
mp-1195779,NaNdP2H2CO7,N/A,3.344592142939348,N/A,N/A
mp-1196129,Na2Fe3P2H2(C4O9)2,N/A,2.371740474039475,N/A,N/A
mp-1196604,NaCeP2H2CO7,N/A,3.314825325729596,N/A,N/A
mp-1197360,Na2Mn3P2H2(C4O9)2,N/A,2.278260563874228,N/A,N/A
mp-1198602,DyH2C2SNO9,N/A,3.126430465402964,N/A,N/A
mp-1199113,NaTbP2H2CO7,N/A,3.619048332172801,N/A,N/A
mp-1199285,ErH2C2SNO9,N/A,3.163135842477569,N/A,N/A
mp-1199480,KTbH2C2SO9,N/A,3.395164669192137,N/A,N/A
mp-1200033,GdH2C2SNO9,N/A,2.959321979031817,N/A,N/A
mp-1201229,SiH2CS(OF)3,N/A,1.664884848809498,N/A,N/A
mp-1202043,CeH2C2SNO9,N/A,2.94778949848096,N/A,N/A
mp-1202938,NaGdP2H2CO7,N/A,3.557796136216075,N/A,N/A
mp-1203992,TbH2C2SNO9,N/A,3.022523144952071,N/A,N/A
mp-1204475,RbCu2H2C3N3O,N/A,2.582156819555139,N/A,N/A
mp-1204537,NaDyP2H2CO7,N/A,3.68240236254767,N/A,N/A
mp-1212205,KCoH2CN4O7,N/A,1.69795364766112,N/A,N/A
mp-1212322,KGdH2C2SO9,N/A,3.2964893939986952,N/A,N/A
mp-1212621,H2C3NClOF4,N/A,1.716318086087989,N/A,N/A
